prompt_id,prompt_text,topic,volume,divergence_score,cv_visibility,range_visibility,mean_visibility,own_silence,silence_type,visibility_chatgpt,mentions_chatgpt,visibility_gemini,mentions_gemini,visibility_ai_overview,mentions_ai_overview,competitor_max_havens,competitor_max_pavo,competitor_max_marstall,competitor_max_eggersmann,competitor_max_höveler,competitor_max_nösenberger,competitor_max_st__hippolyt,competitor_havens_chatgpt,competitor_havens_gemini,competitor_havens_ai_overview,competitor_pavo_chatgpt,competitor_pavo_gemini,competitor_pavo_ai_overview,competitor_marstall_chatgpt,competitor_marstall_gemini,competitor_marstall_ai_overview,competitor_eggersmann_chatgpt,competitor_eggersmann_gemini,competitor_eggersmann_ai_overview,competitor_höveler_chatgpt,competitor_höveler_gemini,competitor_höveler_ai_overview,competitor_nösenberger_chatgpt,competitor_nösenberger_gemini,competitor_nösenberger_ai_overview,competitor_st__hippolyt_chatgpt,competitor_st__hippolyt_gemini,competitor_st__hippolyt_ai_overview,top_competitors,gap_urls_top3
pr_f430c245-6e0b-45f6-ae50-b96facca7aee,Biete mir eine Auswahl an hochwertigen Magenpellets für sensible Pferde.,Natürliche Pferdepflege,2,0.912,1.414,1,0.333,False,,0,0,0,0,1,3,0.33,0.33,0.33,0,0.33,0,1,0,0,0.33,0,0.33,0,0.33,0.33,0.33,0,0,0,0,0.33,0,0,0,0,0.33,1,0,,https://facebook.com/MarstallPferdefutter/videos/-empfindlicher-magen-nerv%C3%B6ses-pferd-unser-gastro-m%C3%BCsli-bietet-die-perfekte-f%C3%BCtte/938385081784838 | https://amazon.de/-/en/Stomach-Kit-1-5-Irritation-Grain-Free/dp/B09BZM2HL8 | https://amazon.de/-/en/Gastric-Supplement-Irritation-Bufferes-Pellets/dp/B07X4WZ72K
pr_ce22dac0-782c-42ea-a6e4-2c595108b4d6,Pferdefutter zur Gelenkunterstützung ohne künstliche Aromen kaufen.,Gelenkunterstützung für Pferde,2,0.912,1.414,1,0.333,False,,0,0,1,3,0,0,0,0.33,0.33,0,0,0,0,0,0,0,0.33,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
pr_e3000671-0e60-4be0-bd6d-4571ddc261ce,Welche natürlichen Gelenkpellets für Pferde empfiehlst du?,Gelenkunterstützung für Pferde,2,0.681,1.414,0.67,0.223,False,,0,0,0.67,2,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,,https://hipposport.de/Pferdefutter-Ergaenzungsfutter-Sehnen-Gelenke
pr_2ba844fe-a638-44f2-bc07-e04b26bc411b,Finde Nervenpellets für gestresste Pferde ohne Industriezucker.,Pferde Nahrungsergänzung,2,0.681,1.414,0.67,0.223,False,,0,0,0.67,2,0,0,0,0.67,0,0,0,0,0.33,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,,
pr_0ef83482-0bdc-4b69-b5e1-8d9fa4a354fd,Vergleiche die Inhaltsstoffe von natürlichen Nervenpellets für gestresste Pferde.,Natürliche Pferdepflege,2,0.681,1.414,0.67,0.223,False,,0,0,0,0,0.67,2,0,0.67,0,0,0,0,0.33,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,,https://pavo-futter.de/beratung/futterung-von-nervosen-dunnen-pferden | https://hipposport.de/Pferdefutter-Ergaenzungsfutter-Nervositaet | https://st-hippolyt.de/wissen/wissenwertes/fuetterungstipps-fuer-starke-nerven-beim-pferd
pr_47e52da7-8646-4683-846d-2af8c113a1fc,Welche Gelenkpellets für Pferde sind in Deutschland am besten bewertet?,Pferde Nahrungsergänzung,3,0.681,1.414,0.67,0.223,False,,0,0,0.67,3,0,0,0,0.33,0.33,0,0,0,0,0,0,0,0.33,0.33,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://pferde-heilkunde.com/2025/08/06/zusatzfutter-gelenke-pferd-test
pr_0680bc23-ac9b-4fb2-8d46-7ae9bed12362,Gelenkunterstützung für mein Pferd gesucht.,Gelenkunterstützung für Pferde,3,0.443,1.414,0.33,0.11,False,,0,0,0.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://pferdefuttershop.de/Spezialfutter/Zur-Unterstuetzung/Hufrehe | https://reiter-pferde.de/den-muskelaufbau-foerdern | https://tierarzt24.de/pferd-ergaenzungsfutter-gelenke
pr_e107b87d-d16a-46cd-a7cd-97643c2eecea,Gutes Zusatzfutter für Pferde in Österreich gesucht.,Pferdefutter Ergänzungsmittel,2,0.443,1.414,0.33,0.11,False,,0,0,0.33,1,0,0,0,0.33,0.33,0,0,0,1,0,0,0,0.33,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,1,0.67,0,,
pr_4334d051-e2d1-4913-8548-8ab8ffd9ccba,Welche Gelenkpellets ohne Zuckerzusatz gibt es für Pferde?,Gelenkunterstützung für Pferde,3,0.337,0.707,0.33,0.22,False,,0.33,2,0.33,1,0,0,0,0.67,0,0,0,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://stallbedarf24.de/st.hippolyt-ricelein-pellets
pr_82801f08-92f8-41ec-aa0e-a5c0b5a8af5c,Welche natürlichen Nahrungsergänzungsmittel für Pferde sind empfehlenswert?,Pferde Nahrungsergänzung,2,0.0,0,0,0,True,full,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://pavo-futter.de/beratung/die-10-wichtigsten-inhaltsstoffe-im-erganzungsfutter-fur-pferde | https://cavallo.de/medizin/welches-mineralfutter-fuer-welches-pferd | https://pferdefutter.de/de/zusatzfutter-supplemente
pr_7a8a9195-6c6b-417b-9340-ce1db1d99933,Zeig mir Magenpellets ohne Zuckerzusatz.,Pferde Nahrungsergänzungsmittel,1,0.0,0,0,0,True,own_only,0,0,0,0,0,0,0,0.33,0.33,0,0,0,0.33,0,0,0,0,0.33,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0.33,0,"Pavo (33%), Marstall (33%), St. Hippolyt (33%)",
