prompt_id,prompt_text,topic,volume,silence_type,competitor_id,competitor_name,engine_id,engine_name,visibility
pr_0ef83482-0bdc-4b69-b5e1-8d9fa4a354fd,Vergleiche die Inhaltsstoffe von natürlichen Nervenpellets für gestresste Pferde.,Natürliche Pferdepflege,2,,kw_456df993-9dae-4abe-8a95-0d53f70ec63d,Havens,chatgpt-scraper,ChatGPT,0
pr_0ef83482-0bdc-4b69-b5e1-8d9fa4a354fd,Vergleiche die Inhaltsstoffe von natürlichen Nervenpellets für gestresste Pferde.,Natürliche Pferdepflege,2,,kw_456df993-9dae-4abe-8a95-0d53f70ec63d,Havens,gemini-scraper,Gemini,0
pr_0ef83482-0bdc-4b69-b5e1-8d9fa4a354fd,Vergleiche die Inhaltsstoffe von natürlichen Nervenpellets für gestresste Pferde.,Natürliche Pferdepflege,2,,kw_456df993-9dae-4abe-8a95-0d53f70ec63d,Havens,google-ai-overview-scraper,AI Overview,0
pr_0ef83482-0bdc-4b69-b5e1-8d9fa4a354fd,Vergleiche die Inhaltsstoffe von natürlichen Nervenpellets für gestresste Pferde.,Natürliche Pferdepflege,2,,kw_4db331b0-064b-4590-811a-f976f85495bc,Pavo,chatgpt-scraper,ChatGPT,0
pr_0ef83482-0bdc-4b69-b5e1-8d9fa4a354fd,Vergleiche die Inhaltsstoffe von natürlichen Nervenpellets für gestresste Pferde.,Natürliche Pferdepflege,2,,kw_4db331b0-064b-4590-811a-f976f85495bc,Pavo,gemini-scraper,Gemini,0
pr_0ef83482-0bdc-4b69-b5e1-8d9fa4a354fd,Vergleiche die Inhaltsstoffe von natürlichen Nervenpellets für gestresste Pferde.,Natürliche Pferdepflege,2,,kw_4db331b0-064b-4590-811a-f976f85495bc,Pavo,google-ai-overview-scraper,AI Overview,0.67
pr_0ef83482-0bdc-4b69-b5e1-8d9fa4a354fd,Vergleiche die Inhaltsstoffe von natürlichen Nervenpellets für gestresste Pferde.,Natürliche Pferdepflege,2,,kw_53e73c24-a748-4f3c-8270-9e137e88460f,Marstall,chatgpt-scraper,ChatGPT,0
pr_0ef83482-0bdc-4b69-b5e1-8d9fa4a354fd,Vergleiche die Inhaltsstoffe von natürlichen Nervenpellets für gestresste Pferde.,Natürliche Pferdepflege,2,,kw_53e73c24-a748-4f3c-8270-9e137e88460f,Marstall,gemini-scraper,Gemini,0
pr_0ef83482-0bdc-4b69-b5e1-8d9fa4a354fd,Vergleiche die Inhaltsstoffe von natürlichen Nervenpellets für gestresste Pferde.,Natürliche Pferdepflege,2,,kw_53e73c24-a748-4f3c-8270-9e137e88460f,Marstall,google-ai-overview-scraper,AI Overview,0
pr_0ef83482-0bdc-4b69-b5e1-8d9fa4a354fd,Vergleiche die Inhaltsstoffe von natürlichen Nervenpellets für gestresste Pferde.,Natürliche Pferdepflege,2,,kw_8023f695-680d-4ca2-bb5b-4b91beec4a01,Eggersmann,chatgpt-scraper,ChatGPT,0
pr_0ef83482-0bdc-4b69-b5e1-8d9fa4a354fd,Vergleiche die Inhaltsstoffe von natürlichen Nervenpellets für gestresste Pferde.,Natürliche Pferdepflege,2,,kw_8023f695-680d-4ca2-bb5b-4b91beec4a01,Eggersmann,gemini-scraper,Gemini,0
pr_0ef83482-0bdc-4b69-b5e1-8d9fa4a354fd,Vergleiche die Inhaltsstoffe von natürlichen Nervenpellets für gestresste Pferde.,Natürliche Pferdepflege,2,,kw_8023f695-680d-4ca2-bb5b-4b91beec4a01,Eggersmann,google-ai-overview-scraper,AI Overview,0
pr_0ef83482-0bdc-4b69-b5e1-8d9fa4a354fd,Vergleiche die Inhaltsstoffe von natürlichen Nervenpellets für gestresste Pferde.,Natürliche Pferdepflege,2,,kw_969dca29-24cf-42ca-9a7d-a23b11beae83,Höveler,chatgpt-scraper,ChatGPT,0
pr_0ef83482-0bdc-4b69-b5e1-8d9fa4a354fd,Vergleiche die Inhaltsstoffe von natürlichen Nervenpellets für gestresste Pferde.,Natürliche Pferdepflege,2,,kw_969dca29-24cf-42ca-9a7d-a23b11beae83,Höveler,gemini-scraper,Gemini,0
pr_0ef83482-0bdc-4b69-b5e1-8d9fa4a354fd,Vergleiche die Inhaltsstoffe von natürlichen Nervenpellets für gestresste Pferde.,Natürliche Pferdepflege,2,,kw_969dca29-24cf-42ca-9a7d-a23b11beae83,Höveler,google-ai-overview-scraper,AI Overview,0
pr_0ef83482-0bdc-4b69-b5e1-8d9fa4a354fd,Vergleiche die Inhaltsstoffe von natürlichen Nervenpellets für gestresste Pferde.,Natürliche Pferdepflege,2,,kw_d0c6ed51-54a2-4b92-ad71-ef2fce63fb67,Nösenberger,chatgpt-scraper,ChatGPT,0
pr_0ef83482-0bdc-4b69-b5e1-8d9fa4a354fd,Vergleiche die Inhaltsstoffe von natürlichen Nervenpellets für gestresste Pferde.,Natürliche Pferdepflege,2,,kw_d0c6ed51-54a2-4b92-ad71-ef2fce63fb67,Nösenberger,gemini-scraper,Gemini,0
pr_0ef83482-0bdc-4b69-b5e1-8d9fa4a354fd,Vergleiche die Inhaltsstoffe von natürlichen Nervenpellets für gestresste Pferde.,Natürliche Pferdepflege,2,,kw_d0c6ed51-54a2-4b92-ad71-ef2fce63fb67,Nösenberger,google-ai-overview-scraper,AI Overview,0
